video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7235675794385669402,2023-05-21T18:37:45,117,FR,248200,380,1336,1500000,Fou rire 🤣🤣🤣#ambrejrmoupas ,False,,ambrejrmoupas,💘ambre💘,,,,,,False
7238665685457456410,2023-05-29T19:59:58,79,FR,24700,200,978,529900,Quel est ton score sur 6 ? 🤔 Essaie aussi ce test @Quiztopher Colomb 🌍 #quiz #question #test #memoire #observation #image #mémoirevisuelle ,False,,quiztophercolomb,Quiztopher Colomb 🌍,,,,,,False
7239406201878990107,2023-05-31T19:53:33,60,FR,3498,459,63,103200,Fais tes choix et partage les en commentaire ! #fyp #pourtoi #foryoupage #trend #swipe #choices #mariage #pourtoi #weeding #love #pt #toryourpage #viral #fyp #xyzbca ,False,,boaboa010,BOA,,,,,,False
7245215367323340058,2023-06-16T11:36:09,64,FR,13500,474,3592,659600,Test de logique 🧠 👉Abonne toi pour plus de tests #test #enigme #devinette #intelligence #intelligent #jeux #pourtoi ,False,,docteurenigmatic,Enigmatic,,,,,,False
7214562561335823622,2023-03-25T20:07:29,71,FR,87400,446,2563,583200,Alors test de pureté ,False,,tislash,TiSlash,,,,,,False
7185582689968196869,2023-01-06T17:50:46,70,FR,18100,51,164,339600,#logiquetest #testlogique #quiz #raisonnementlogique #apprendre #cultureg ,False,,culturegmasque,CulutureGmasque,,,,,,False
7219021758471359749,2023-04-06T21:31:26,15,FR,471,30,69,110700,#foryou #pourtoi si seulement sa pouvait partir...,False,,emilielasson5,je rend,,,,,,False
7199665633792150790,2023-02-13T16:39:49,108,FR,17700,781,649,174600,,False,,lockaf,Lockaf,,,,,,False
7196704719728037126,2023-02-05T17:09:56,88,FR,117800,8557,9538,3200000,Test psychologique. Test de personnalité amusant 🤩 #testpsychologique #testdepersonalité #santementale #jeu ,False,,naturoness,Chahira MILOUDI,,,,,,False
7216425306842762501,2023-03-30T21:35:53,63,FR,12400,189,985,614800,Un test de logique 🧠 ,False,,monsieurastuces,Monsieur Astuces,,,,,,False
7177039695761657093,2022-12-14T17:19:36,151,FR,74800,1165,683,971300,hello les coucouilles #fy #fyp #pourtoi #viral #trending #psychology #test #lgbt #psycho ,False,,margobiondo,margo,,,,,,False
